推,噓,分數,作者,標題,時間
411,104,307,Wojnarowski (@wojespn),[新聞] 馬英九酸「自我感覺良好」　蔡英文笑回：,Sat Nov  9 10:27:52 2019
5,2,3,vic9503 (babyface),[問卦] 滑手機可不可以不要再皺眉頭了！,Sat Nov  9 00:43:54 2019
2,3,-1,chao0210 (一步一腳印),[新聞] 聯強開賣DJI RoboMaster S1編程機器人 ,Fri Nov  8 23:43:27 2019
7,6,1,zoosleep (王者),[問卦] 愛莉莎莎戴魚夫帽?,Fri Nov  8 23:30:44 2019
182,42,140,shinmoner (WISDOM),[新聞] 8年5萬戶公宅跳票？柯文哲認了「蓋不完」,Fri Nov  8 23:45:25 2019
2,0,2,Cger (海洋~~),Re,Sat Nov  9 02:02:37 2019
8,1,7,CavendishJr (左是炎右是雷),[問卦] 小丑魚竟然可以性轉!?,Sat Nov  9 10:06:16 2019
4,2,2,ji3ji3ji3 (~夏夜晚風~),[問卦] 有口臭的人 自己聞不出來嗎,Sat Nov  9 11:50:02 2019
19,0,19,xw741953 (孤獨魂),Re,Fri Nov  8 23:35:27 2019
12,2,10,qazsedcft (自由羊),[新聞] 午夜開搶！網購新勁戰現省5萬　11元買到,Sat Nov  9 00:02:57 2019
11,3,8,piggy37 (小時),[問卦] 請問退休可以領600萬真的嗎？,Sat Nov  9 08:23:03 2019
7,7,0,Hscyin (114負荷粉),[問卦] 有沒有蚊子會抬後腿的八卦？,Sat Nov  9 02:41:24 2019
4,8,-4,Shiau5566 (優文Shiau),[問卦] 橘貓站在馬路旁很徬徨？,Sat Nov  9 00:46:11 2019
2,0,2,ccyaztfe (best_troll_tw),[問卦] edm跟epic music聽起來很類似？,Fri Nov  8 23:35:22 2019
49,6,43,Bignana (秋水浮萍任飄渺),[公告] ptt帳號 20萬元 你會賣嗎？ 討論串,Thu Oct 24 13:20:10 2019
8,2,6,mean (機器人跌倒了),Re,Sat Nov  9 11:34:27 2019
9,2,7,b8301013 (葉子),[問卦] 布偶貓跟米克斯的差別在哪？,Sat Nov  9 10:44:57 2019
90,7,83,torrest (torrest),[問卦] 禁新辦帳號的後遺症？,Sat Nov  9 09:24:55 2019
11,3,8,VVVV5555 (東興烏鴉-耀揚哥),[問卦] 香港算是慢性自殺嗎,Sat Nov  9 10:24:31 2019
1,0,1,ezJapan (Japan),[問卦] 腸病毒幾時開始流行的,Fri Nov  8 23:28:41 2019
2,1,1,st9760916 (st9760916),[問卦] 在新加坡附近的沉船發現藍寶石？,Sat Nov  9 00:35:49 2019
1,0,1,kjupsp (來自西發里亞的明日),[問卦] 這世界將要屬於愛 不屬於強者的世代,Sat Nov  9 01:12:25 2019
2,6,-4,s37166117 (ace),[問卦] 資工系該去做什麼職業蛤,Fri Nov  8 23:52:50 2019
2,0,2,vickyshan (逗比小精靈),[問卦] 敢對司徒浩南耍大牌的中國演員是誰阿,Sat Nov  9 03:07:06 2019
6,2,4,ZengMaktub (改個暱稱),[問卦] 一般人請假可以請多久？,Sat Nov  9 10:00:54 2019
0,0,0,burgergirl (20 seconds insane),[問卦] 新莊區有人虐狗如何處理,Sat Nov  9 02:50:19 2019
5,2,3,ilovemami (噁爛肥宅好搗亂癱瘓交通 ),[問卦] 監所管理員會怕囚犯嗎,Sat Nov  9 04:26:21 2019
4,3,1,ryanworld (涼粉),Re,Sat Nov  9 10:33:10 2019
4,1,3,bonfferoni (白莖汁腥),[問卦] 快五十歲的女同事叫人家清潔阿姨?,Fri Nov  8 23:06:37 2019
0,4,-4,russkgb (旅途),政府公開資訊，差異化？,Sat Nov  9 10:39:42 2019
105,43,62,deepdish (Keep The Faith),[新聞] 爆乳牙助辭工作開直播 只花2年收入翻N倍,Sat Nov  9 08:04:10 2019
4,0,4,linx210145 (hotnet),Re,Sat Nov  9 10:53:56 2019
13,7,6,gg0815 (O0O0O0O0O0O0O0),[問卦] 大小S當年有多紅,Sat Nov  9 07:25:27 2019
148,23,125,tw689 (台灣689),[新聞] 林亮君退黨 北市議會時力黨團瓦解,Sat Nov  9 02:00:30 2019
7,0,7,takeshi911 (L.Lawlite),[新聞] 國中生不愛用肥皂洗手 小心諾羅病毒易群,Sat Nov  9 10:37:35 2019
1,1,0,ht91008 (色情狂),[問卦] 幹嘛要買武器，年輕人投票就能保家衛國？,Fri Nov  8 23:47:21 2019
0,0,0,todao (心裡有數),[問卦] 為弱勢階層服務的建築師,Sat Nov  9 10:31:02 2019
12,5,7,poeta (鍵盤詩人),[新聞] 疑把煞車當油門 老翁開車暴衝撞騎樓3人,Sat Nov  9 00:57:00 2019
8,2,6,ccxx9999 (0-0),[新聞] 女性內衣問卷調查 噁心男騙拍裸照還上下,Sat Nov  9 08:54:08 2019
3,0,3,ckbdfrst (ckbdfrst),Re,Sat Nov  9 02:19:46 2019
2,0,2,fraternity (duhamanity可以原諒他阿1),[問卦] 中國怎麼感覺很嫉妒金馬獎??,Sat Nov  9 00:11:38 2019
43,0,43,hanmas (),Re,Sat Nov  9 02:36:55 2019
4,26,-22,zoosleep (王者),[新聞] 影／小玉挑戰對折紙12次世界紀錄　轎車,Sat Nov  9 00:21:51 2019
11,20,-9,nuggets (舟彿全槐),[新聞] 批綠只有三招 韓國瑜：屁股幾根毛看得一,Fri Nov  8 23:07:10 2019
3,0,3,H2 (超級噴火龍X),Re,Sat Nov  9 10:33:20 2019
7,1,6,shampoopoo (毛寶洗髮精是了),[問卦] 帥哥教授只跟我打招呼的卦？,Sat Nov  9 08:17:41 2019
22,1,21,nesiron (Nes),[問卦] 吉田羊，深川麻衣，稻森泉，都幾？,Sat Nov  9 00:06:28 2019
2,10,-8,abellea85209 (阿比利亞),[新聞] 大網紅？奈米網紅？原來館長跟蔡阿嘎竟是,Fri Nov  8 23:12:07 2019
4,1,3,nonpolar (Nonpolar),Re,Sat Nov  9 10:26:20 2019
7,4,3,plusonezero (本草綱目科屬種),[問卦] 宏達電當年有多紅？,Sat Nov  9 01:40:59 2019
8,3,5,ckbdfrst (ckbdfrst),[新聞]柏林圍牆倒塌30年 德東青年世代依舊壁壘分,Fri Nov  8 23:38:42 2019
3,2,1,andy02 (大蛇丸),[問卦] 為什麼有人希望秋天別來?,Sat Nov  9 10:18:49 2019
61,7,54,a41141234 (跨三小啦幹),[問卦] 有誰跟我一樣不信鬼神?,Sat Nov  9 03:49:28 2019
1,0,1,livemail (即時現場),[問卦] 約ㄋ出來的第一個藉口,Fri Nov  8 23:27:43 2019
1,0,1,ptt987654321 (哪部自己私訊問我),Re,Sat Nov  9 11:37:06 2019
12,5,7,iPenis (蘋果新產品 iPenis),[新聞] 高嘉瑜談阿扁失言？ 他轟：將惹來無法承,Fri Nov  8 23:26:01 2019
9,4,5,linhunk (hihihi),"[問卦] ""都幾"" 是時麼意思",Sat Nov  9 02:13:55 2019
